N,p,prop_first,prop_second
2,0.1,0.5,0.5
2,0.1,0.5,0.5
2,0.1,0.5,0.5
2,0.1,0.5,0.5
2,0.1,0.5,0.5
3,0.1,0.2777777777777778,0.3888888888888889
3,0.1,0.3333333333333333,0.4444444444444444
3,0.1,0.5,0.5
3,0.1,0.5,0.7222222222222222
3,0.1,0.5,0.5555555555555556
4,0.1,0.5,0.5625
4,0.1,0.4375,0.5625
4,0.1,0.40625,0.40625
4,0.1,0.40625,0.53125
4,0.1,0.40625,0.53125
5,0.1,0.42,0.42
5,0.1,0.54,0.56
5,0.1,0.32,0.32
5,0.1,0.5,0.54
5,0.1,0.28,0.28
6,0.1,0.4444444444444444,0.5
6,0.1,0.4166666666666667,0.5138888888888888
6,0.1,0.5,0.5
6,0.1,0.4444444444444444,0.4583333333333333
6,0.1,0.3888888888888889,0.4722222222222222
7,0.1,0.41836734693877553,0.41836734693877553
7,0.1,0.5204081632653061,0.5714285714285714
7,0.1,0.3979591836734694,0.5510204081632653
7,0.1,0.3979591836734694,0.5
7,0.1,0.42857142857142855,0.42857142857142855
8,0.1,0.40625,0.53125
8,0.1,0.46875,0.5390625
8,0.1,0.484375,0.5234375
8,0.1,0.2578125,0.390625
8,0.1,0.390625,0.4375
9,0.1,0.3950617283950617,0.5308641975308642
9,0.1,0.35802469135802467,0.4691358024691358
9,0.1,0.3888888888888889,0.5
9,0.1,0.4691358024691358,0.4876543209876543
9,0.1,0.37037037037037035,0.49382716049382713
10,0.1,0.45,0.45
10,0.1,0.445,0.515
10,0.1,0.42,0.44
10,0.1,0.405,0.53
10,0.1,0.43,0.465
11,0.1,0.30578512396694213,0.44214876033057854
11,0.1,0.4256198347107438,0.4256198347107438
11,0.1,0.4669421487603306,0.4793388429752066
11,0.1,0.40082644628099173,0.4628099173553719
11,0.1,0.4132231404958678,0.4297520661157025
12,0.1,0.3958333333333333,0.46875
12,0.1,0.4548611111111111,0.4583333333333333
12,0.1,0.3090277777777778,0.3402777777777778
12,0.1,0.24305555555555555,0.4965277777777778
12,0.1,0.16319444444444445,0.4409722222222222
13,0.1,0.4526627218934911,0.5029585798816568
13,0.1,0.30177514792899407,0.3994082840236686
13,0.1,0.1834319526627219,0.47633136094674555
13,0.1,0.5088757396449705,0.5266272189349113
13,0.1,0.3816568047337278,0.5029585798816568
14,0.1,0.3877551020408163,0.39540816326530615
14,0.1,0.2576530612244898,0.4719387755102041
14,0.1,0.24744897959183673,0.42346938775510207
14,0.1,0.23979591836734693,0.3647959183673469
14,0.1,0.41836734693877553,0.4260204081632653
15,0.1,0.3933333333333333,0.5222222222222223
15,0.1,0.37333333333333335,0.5022222222222222
15,0.1,0.33111111111111113,0.37777777777777777
15,0.1,0.4066666666666667,0.48
15,0.1,0.3888888888888889,0.45555555555555555
16,0.1,0.361328125,0.40234375
16,0.1,0.40234375,0.447265625
16,0.1,0.365234375,0.4609375
16,0.1,0.400390625,0.455078125
16,0.1,0.3046875,0.33984375
17,0.1,0.3373702422145329,0.5190311418685121
17,0.1,0.1972318339100346,0.33391003460207613
17,0.1,0.23875432525951557,0.47750865051903113
17,0.1,0.42560553633217996,0.4429065743944637
17,0.1,0.3771626297577855,0.42214532871972316
18,0.1,0.21604938271604937,0.21604938271604937
18,0.1,0.4074074074074074,0.4243827160493827
18,0.1,0.4398148148148148,0.4583333333333333
18,0.1,0.38117283950617287,0.470679012345679
18,0.1,0.33641975308641975,0.47685185185185186
19,0.1,0.3573407202216066,0.5041551246537396
19,0.1,0.31301939058171746,0.3767313019390582
19,0.1,0.45290858725761773,0.5041551246537396
19,0.1,0.3628808864265928,0.37950138504155123
19,0.1,0.3365650969529086,0.4445983379501385
20,0.1,0.32,0.445
20,0.1,0.17875,0.3125
20,0.1,0.24625,0.27125
20,0.1,0.4375,0.47375
20,0.1,0.2925,0.43
21,0.1,0.35487528344671204,0.3673469387755102
21,0.1,0.481859410430839,0.4852607709750567
21,0.1,0.42970521541950113,0.43197278911564624
21,0.1,0.19387755102040816,0.3843537414965986
21,0.1,0.2800453514739229,0.2925170068027211
22,0.1,0.34917355371900827,0.43078512396694213
22,0.1,0.35330578512396693,0.3822314049586777
22,0.1,0.3305785123966942,0.35537190082644626
22,0.1,0.3615702479338843,0.3925619834710744
22,0.1,0.3037190082644628,0.45661157024793386
